image_id,question,answer,path
71BN3iMoGkL,What are the figurines sitting on?,Bench,9d/9dd2d3f1.jpg
71AH7yyOgCL,What brand is the mobile phone case?,Solimo,f3/f3ab1fbf.jpg
71ag2dwtVfL,What brand is this?,AmazonBasics,62/62075c07.jpg
61yqMXIGHVL,What lining do these envelopes have?,Bubble,2d/2d483c93.jpg
71d57C76BpL,What is the shade shape?,Drum,b8/b8b510a2.jpg
A169Mi1gE2L,How many drawers are there?,Five,0a/0af3045e.jpg
91eooupRzIL,What material is the glove made of?,Aramid,4c/4cb3e979.jpg
81e3oZH8MyL,What phone is the case for?,Vivo,97/970e86ae.jpg
61lOTvXUzNL,What color is the case?,Black,be/bef3dfcb.jpg
71jjDzlE4GL,What celestial body is crescent-shaped?,Moon,61/61c69f6c.jpg
81pALe49HtL,What color are the shoe laces?,Grey,72/728c9f65.jpg
5171kzKEo2L,What pattern is on the case?,Striped,7e/7ec39859.jpg
914TrKIu0lL,What color is the ottoman?,Tan,38/38db4e8a.jpg
61OnkGVhMWL,Is the product weight under ten?,Yes,35/3595924e.jpg
81sOaAo4RQL,What shape are the earcups?,Square,1b/1be1872a.jpg
71y8G05vvnL,What metal is the ring plated with?,Rhodium,c5/c519d53b.jpg
81aUSf2b8iL,What color is the wallet?,Peach,bb/bbae2e01.jpg
712dnLJj9NL,What is the item weight in pounds?,One,f2/f2ea3078.jpg
51xtXHu-dZL,What type of material is used?,Textile,32/328adddf.jpg
61nZnzBURfL,What brand is this?,Solimo,09/091d0f23.jpg
81PHa7QNp3L,How many sheets are included?,500,f7/f7adc27a.jpg
81slwdD7oBL,What is the brand's number?,365,7f/7f022b19.jpg
61oOUEXSjFL,What is the product type?,Grocery,de/dee03d3a.jpg
61SxvPqvYbL,What is depicted on the phone case?,Shivaji,fa/fa469377.jpg
916xNoCiVZL,What object is patterned on the cover?,Camera,39/39360a8c.jpg
71wxRBAHZmL,How long is the product in inches?,Seven,5f/5f849a0d.jpg
71n-sYtbdoL,What brand is it?,Solimo,2b/2bf6cc10.jpg
81ND88vfzrL,What color is the case?,Multicolor,e2/e281e074.jpg
711u5kS+eYL,What is the case's main material?,Silicon,30/3099ffe8.jpg
71J6QAkl7cL,Are there croutons?,Yes,46/46fdbad5.jpg
71vA-ExqmTL,What is the material of the object?,Plastic,fd/fd2af1df.jpg
81v7rGULrUL,What word is written on the case?,Love,87/87a1914e.jpg
9149-9nXazL,What color is the item?,Blue,0d/0d51371f.jpg
71nWiVnFvQL,What color are the containers?,Transparent,ec/ec7dd4c3.jpg
71+2iUmCcvL,Which brand sells the phone case?,Solimo,05/051decf9.jpg
71goJYNfw2L,What brand is this product from?,Find,67/67ace4b7.jpg
71mqQ+mE2NL,What color is the sky?,Blue,f6/f6cdf9fe.jpg
81irXfZnvgL,How many eyelets are on the curtain?,Eight,da/da926c7d.jpg
717qMTyXL0L,What is the color of the phone case?,Multicolored,0c/0cff28b5.jpg
81f8SHJXjoL,What is the main flavor?,Lemon,ef/efcf7bb9.jpg
71Fdogf-3BL,What color is the frame?,Black,90/90456bd6.jpg
71BHmhpQ92S,What type of fabric is the seat?,Microfiber,6f/6f4fc201.jpg
31Dj9160ECL,What kind of rod is it?,Curtain,24/248f4ed4.jpg
8112pA+mjdL,What is the pattern described as?,Impression,11/11f8d96d.jpg
61V3AlWieXL,What is the brand name?,AmazonBasics,da/da35ee02.jpg
71-KYVnjyjL,What is the primary color of the phone case?,Black,c5/c5e0f72b.jpg
71zeDNfhlZL,Are these boots slip-on or lace-up?,Slip-on,46/46ddc469.jpg
61OnkGVhMWL,What color is the item?,Black,35/3595924e.jpg
81jm81C+cfL,What is the shape of the nuts?,Curved,b8/b8c3165d.jpg
71D4DSrG6KL,What shape are the pasta strands?,Thin,00/00cb6c85.jpg
71oIOw9WUgL,What kind of phone is this cover for?,Huawei,af/afcc4372.jpg
61hnCmMgzSL,Are these sneakers?,Yes,13/13b915af.jpg
91mTzsMIeJL,Is this product designed for babies?,Yes,d0/d00169ce.jpg
510h3iFeOIL,What is the chair's color?,Black,fa/fa97ecd1.jpg
61xgQMvbvnL,What material are these pads made of?,Felt,20/20b4939d.jpg
71oPeU3tVuL,What is the cabinet made of?,MDF,47/47fee6b7.jpg
81CPher1W3L,What is the weight in grams?,Fifty,40/402da34c.jpg
61KfQyIsMuL,What is the weight in grams?,Fifty,81/818f9d55.jpg
71GlIfOYovL,What galaxy is the phone?,Samsung,18/18b497fc.jpg
61YgHIPzt7L,What brand is this product?,Solimo,13/138ab9e9.jpg
71FV5F4Z0pL,What brand is this item?,AmazonBasics,3e/3e1aec70.jpg
61aDxBf2GiL,What is the phone case's dominant color?,Blue,f0/f0a82c4c.jpg
81ySwsiu+dL,What is the product type?,Case,7d/7de51801.jpg
81q4Q9H94-L,What gender is this shoe for?,Men,fd/fd75899f.jpg
